<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.09	16:00:00	161.127	161.516	160.888	161.321	10574	0	0
2024.07.09	20:00:00	161.321	161.339	161.228	161.321	4733	0	0
2024.07.10	00:00:00	161.308	161.510	161.241	161.464	2762	0	0
2024.07.10	04:00:00	161.464	161.588	161.404	161.443	3873	0	1
2024.07.10	08:00:00	161.443	161.561	161.337	161.513	6028	0	0
2024.07.10	12:00:00	161.513	161.612	161.429	161.448	5586	0	0
2024.07.10	16:00:00	161.447	161.754	161.426	161.689	7295	0	0
2024.07.10	20:00:00	161.690	161.804	161.648	161.672	3812	0	0
2024.07.11	00:00:00	161.665	161.675	161.476	161.566	2995	0	0
2024.07.11	04:00:00	161.564	161.693	161.537	161.686	4144	0	0
2024.07.11	08:00:00	161.686	161.759	161.501	161.529	5074	0	0
2024.07.11	12:00:00	161.529	161.618	158.361	158.642	8293	0	0
2024.07.11	16:00:00	158.629	158.967	157.410	158.563	15840	0	0
2024.07.11	20:00:00	158.563	158.909	158.552	158.842	6891	0	0
2024.07.12	00:00:00	158.857	159.446	157.731	159.077	11032	0	0
2024.07.12	04:00:00	159.075	159.383	158.753	159.110	9952	0	0
2024.07.12	08:00:00	159.117	159.315	158.868	159.101	10224	0	0
2024.07.12	12:00:00	159.103	159.254	158.507	158.810	10292	0	0
2024.07.12	16:00:00	158.808	158.839	157.371	157.873	13957	0	0
2024.07.12	20:00:00	157.873	158.012	157.790	157.861	4619	0	0
2024.07.15	00:00:00	158.073	158.418	157.980	158.112	5440	0	0
2024.07.15	04:00:00	158.106	158.238	157.911	157.992	5965	0	0
2024.07.15	08:00:00	157.993	158.242	157.781	157.816	8307	0	0
2024.07.15	12:00:00	157.817	158.170	157.753	157.959	7575	0	0
2024.07.15	16:00:00	157.958	158.066	157.150	157.711	9450	0	0
2024.07.15	20:00:00	157.711	158.154	157.711	158.083	6021	0	0
2024.07.16	00:00:00	158.017	158.394	157.917	158.365	3589	0	0
