<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.20	53.52	53.52	49.51	50.74	1601	355670	0
2025.02.21	51.50	52.08	47.51	48.27	1576	349842	0
2025.02.24	48.60	49.13	43.21	44.65	2312	460992	0
2025.02.25	44.02	44.50	34.88	37.03	3264	664975	0
2025.02.26	39.00	42.37	38.94	40.82	1502	374129	0
2025.02.27	42.69	43.18	39.10	40.59	1230	238000	0
2025.02.28	39.00	41.51	37.58	40.55	1819	387328	0
2025.03.03	41.85	42.49	37.00	37.17	1081	236633	0
2025.03.04	35.58	36.95	32.10	34.93	1945	457323	0
2025.03.05	35.39	36.58	34.10	36.41	775	155539	0
2025.03.06	34.55	35.88	33.11	33.24	958	205325	0
2025.03.07	32.99	33.45	29.90	32.01	1443	290745	0
2025.03.10	29.68	30.43	28.20	29.30	1060	187851	0
2025.03.11	26.41	29.48	25.19	28.86	1275	251444	0
2025.03.12	30.50	30.92	28.80	30.58	821	136163	0
2025.03.13	29.75	30.20	28.63	29.20	508	103031	0
2025.03.14	30.56	33.59	30.56	33.01	810	191852	0
2025.03.17	38.31	40.05	37.89	39.01	2342	464607	0
2025.03.18	36.86	38.00	36.52	37.60	911	161941	0
2025.03.19	38.90	41.38	38.50	40.50	814	179526	0
2025.03.20	41.18	41.49	38.61	39.20	692	131889	0
2025.03.21	39.86	40.00	39.00	40.00	348	74787	0
2025.03.24	43.20	44.78	43.02	44.08	965	186289	0
2025.03.25	44.81	45.35	42.74	44.20	749	164445	0
2025.03.26	42.00	43.09	39.60	40.07	798	136878	0
2025.03.27	41.12	41.91	39.87	40.15	438	98847	0
2025.03.28	36.60	37.49	35.15	36.25	990	167028	0
2025.03.31	33.68	35.52	32.19	35.25	796	149889	0
2025.04.01	36.53	39.50	35.35	37.37	1159	230730	0
2025.04.02	36.47	40.97	36.22	40.01	1325	265886	0
2025.04.03	35.20	39.33	35.20	36.63	1293	233415	0
2025.04.04	34.56	35.33	32.02	32.19	1894	342726	0
2025.04.07	30.17	30.74	25.21	29.15	4238	758848	0
2025.04.08	32.55	32.55	26.01	26.34	2765	489694	0
2025.04.09	26.73	31.87	26.34	30.78	2554	546719	0
2025.04.10	29.94	30.94	27.80	29.35	1406	246913	0
2025.04.11	29.60	31.20	29.11	31.11	1008	211963	0
2025.04.14	33.43	34.88	32.21	33.50	1367	296819	0
2025.04.15	33.10	34.00	32.65	32.82	727	168364	0
2025.04.16	31.12	32.17	29.24	29.81	1128	196461	0
2025.04.17	30.95	31.00	29.81	30.41	483	76902	0
2025.04.21	29.13	29.58	28.18	28.71	780	145547	0
2025.04.22	29.71	30.87	29.20	30.50	662	142320	0
2025.04.23	32.79	33.33	31.59	31.81	1420	264314	0
2025.04.24	32.05	35.95	32.05	35.48	1613	327670	0
2025.04.25	35.42	39.38	34.20	38.94	1958	455475	0
2025.04.28	39.04	40.89	35.75	38.19	1773	353885	0
2025.04.29	37.97	38.31	36.84	37.89	815	143980	0
2025.04.30	36.08	37.00	34.50	37.00	670	145126	0
2025.05.01	37.73	38.24	37.13	37.76	685	136148	0
2025.05.02	38.49	39.48	38.08	38.20	883	218627	0
2025.05.05	37.80	38.14	36.34	36.71	550	124672	0
2025.05.06	35.85	36.21	35.22	35.52	558	110497	0
2025.05.07	35.92	36.30	35.00	35.57	701	158744	0
2025.05.08	36.23	38.70	36.22	37.70	974	233526	0
2025.05.09	38.73	39.90	37.30	37.86	1039	202896	0
2025.05.12	40.98	40.98	38.50	39.88	1147	241103	0
2025.05.13	40.06	42.77	39.52	41.95	1735	410688	0
2025.05.14	43.79	44.97	42.00	42.36	1569	318961	0
2025.05.15	41.20	41.58	39.12	40.80	1259	252219	0
2025.05.16	41.80	41.90	39.81	40.37	1069	195267	0
2025.05.20	41.99	42.13	40.38	40.86	925	187447	1
2025.05.22	39.17	43.78	39.17	43.00	1389	332210	1
2025.05.23	42.94	47.73	41.45	46.72	2412	537277	1
2025.05.27	49.09	50.50	47.52	47.86	1793	364699	1
2025.05.28	45.99	45.99	43.05	43.43	1416	292267	1
2025.05.29	45.40	45.78	42.61	42.63	653	137190	1
2025.05.30	42.12	43.99	40.60	42.36	947	204306	1
2025.06.02	42.46	43.76	41.87	43.17	690	125537	1
2025.06.03	44.18	44.50	42.32	42.77	718	144590	2
2025.06.04	43.93	44.16	42.51	42.83	495	115691	2
2025.06.05	43.21	43.32	34.58	37.50	3683	792189	1
2025.06.06	39.11	40.38	38.71	39.68	1275	307308	1
2025.06.09	38.93	43.59	38.00	42.63	1541	348344	1
2025.06.10	42.04	42.16	40.40	41.14	918	180976	1
2025.06.11	42.71	42.72	39.80	40.68	804	171808	1
2025.06.12	40.00	41.03	39.82	40.23	512	127964	5
2025.06.13	39.00	40.18	39.00	39.43	452	86211	1
2025.06.16	40.48	40.79	38.70	38.81	558	125639	1
2025.06.17	39.35	39.49	37.84	37.99	537	101669	2
2025.06.18	38.98	39.47	38.30	39.26	510	96479	2
2025.06.20	38.39	38.74	37.04	37.05	740	152203	2
2025.06.23	37.37	40.74	37.10	39.42	1226	268031	1
2025.06.24	41.19	41.39	39.80	40.30	589	118468	2
2025.06.25	41.29	41.31	38.61	38.83	630	138998	3
2025.06.26	39.21	39.58	38.88	39.05	430	91188	1
2025.06.27	39.30	39.42	38.50	38.67	415	84391	2
2025.06.30	38.96	39.08	37.00	38.09	747	138477	2
2025.07.01	35.99	37.30	35.70	35.70	1289	259131	2
2025.07.02	36.26	37.14	36.16	37.12	865	157010	1
2025.07.03	37.52	37.82	36.33	36.35	389	83935	2
2025.07.07	35.29	35.87	34.72	35.25	779	179614	5
2025.07.08	35.50	37.35	35.45	36.98	858	222055	2
2025.07.09	37.73	39.30	37.37	39.30	906	229273	2
2025.07.10	39.36	40.48	39.08	40.48	609	132043	1
2025.07.11	39.79	39.96	38.81	39.10	414	85324	2
2025.07.14	38.74	38.85	38.07	38.10	526	115419	2
2025.07.15	39.12	39.88	38.50	38.53	459	106957	1
2025.07.16	32.49	36.00	31.50	34.45	5711	1140268	1
2025.07.17	34.98	35.08	33.08	33.45	1767	420795	1
2025.07.18	33.56	33.56	31.80	31.90	1584	367239	1
2025.07.21	32.82	33.83	32.76	33.14	1809	337602	1
2025.07.22	32.61	32.70	31.50	32.03	819	155098	1
2025.07.23	32.51	32.79	32.02	32.24	652	125267	1
2025.07.24	32.36	32.49	32.01	32.20	582	121430	1
2025.07.25	32.20	33.30	32.20	32.87	603	122042	3
2025.07.28	33.05	33.18	32.19	32.20	396	91707	3
2025.07.29	32.13	32.32	30.57	30.74	575	141367	1
2025.07.30	30.95	31.34	30.19	30.36	407	88166	1
2025.07.31	30.55	30.63	29.62	29.70	524	136272	2
2025.08.01	29.26	29.44	28.23	28.50	650	160940	1
2025.08.13	29.28	29.35	28.60	29.03	519	221844	1
2025.08.14	28.87	29.09	28.08	28.37	539	186714	4
